appName,link,tags
STALCRAFT,https://store.steampowered.com/app/1818450/STALCRAFT,"Free to Play,FPS,Action,MMORPG,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Alternate History,Multiplayer,PvE"
BeamNG.drive,https://store.steampowered.com/app/284160/BeamNGdrive,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight"
Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,VR,Escape Room,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler"
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Only Up!,https://store.steampowered.com/app/2381590/Only_Up,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Psychological Horror,Exploration,Platformer,Story Rich,Arcade,Replay Value,Atmospheric,Roguelike,Cinematic,Simulation,Surreal"
V Rising,https://store.steampowered.com/app/1604030/V_Rising,"Early Access,Open World,Survival,Base Building,Vampire,Multiplayer,Crafting,PvP,PvE,Online Co-Op,Building,Hack and Slash,Sandbox,Exploration,Massively Multiplayer,Action,Action-Adventure,Singleplayer,Adventure,Dark Fantasy"
SnowRunner,https://store.steampowered.com/app/1465360/SnowRunner,"Simulation,Automobile Sim,Adventure,Exploration,Sandbox,Realistic,Driving,First-Person,Open World,Third Person,Immersive Sim,Multiplayer,Atmospheric,Racing,Snow,Nature,ATV,Physics,PvE,Team-Based"
Human: Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
DayZ,https://store.steampowered.com/app/221100/DayZ,"Survival,Zombies,Multiplayer,Open World,Action,PvP,Shooter,Massively Multiplayer,Horror,Post-apocalyptic,Simulation,FPS,Early Access,First-Person,Survival Horror,Sandbox,Adventure,Co-op,Atmospheric,Indie"
Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown,"Open World,Tactical,Atmospheric,Multiplayer,Perma Death,FPS,Shooter,PvP,Survival Horror,Horror,Difficult,Online Co-Op,Western,Co-op,Battle Royale,Team-Based,Action,Gore,Zombies,First-Person"
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie"
ASTRONEER,https://store.steampowered.com/app/361420/ASTRONEER,"Multiplayer,Open World,Open World Survival Craft,Space,Survival,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
Barotrauma,https://store.steampowered.com/app/602960/Barotrauma,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval"
Terraria,https://store.steampowered.com/app/105600/Terraria,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play"
Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian"
Jagged Alliance 3,https://store.steampowered.com/app/1084160/Jagged_Alliance_3,"Strategy,Tactical,Turn-Based Tactics,RPG,Turn-Based Strategy,Tactical RPG,Turn-Based Combat,Strategy RPG,Singleplayer,Co-op Campaign,Action,Loot,3D,Isometric"
Car For Sale Simulator 2023,https://store.steampowered.com/app/2248760/Car_For_Sale_Simulator_2023,"Immersive Sim,Driving,Trading,FPS,Automobile Sim,Life Sim,Simulation,3D,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie"
Remnant II,https://store.steampowered.com/app/1282100/Remnant_II,"Action,Adventure,Souls-like,RPG,Dark,Action-Adventure,Shooter,Post-apocalyptic,Third-Person Shooter,Combat,Third Person,Atmospheric,Horror,Controller,Co-op,PvE,Multiplayer,Online Co-Op,Singleplayer,Gore"
BattleBit Remastered,https://store.steampowered.com/app/671860/BattleBit_Remastered,"FPS,Shooter,Multiplayer,Destruction,Massively Multiplayer,Military,PvP,Action,War,First-Person,Tactical,Team-Based,Combat,Class-Based,Character Customization,Early Access,3D,Gun Customization,Voxel,Indie"
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth"
Rust,https://store.steampowered.com/app/252490/Rust,"Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation"
